run_id,source_center,model,method,seed,case_id,video_id,lesion_id,shape,hard_flat,morphology_group,cluster_id,n_frames,dice_mean
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case32_3,case32,case32_3,Ip,False,non_flat,case32_3:case32,165,0.675136
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case32_4,case32,case32_4,Ip,False,non_flat,case32_4:case32,185,0.667072
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case32_5,case32,case32_5,Ip,False,non_flat,case32_5:case32,150,0.874044
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case32_6,case32,case32_6,Ip,False,non_flat,case32_6:case32,171,0.936298
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case33_1,case33,case33_1,Is,False,non_flat,case33_1:case33,207,0.536397
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case33_2,case33,case33_2,Is,False,non_flat,case33_2:case33,186,0.568794
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case33_3,case33,case33_3,Is,False,non_flat,case33_3:case33,201,0.683258
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case34_1,case34,case34_1,Is,False,non_flat,case34_1:case34,121,0.627902
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case34_2,case34,case34_2,Is,False,non_flat,case34_2:case34,124,0.832676
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case35_1,case35,case35_1,Ip,False,non_flat,case35_1:case35,185,0.682942
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case35_2,case35,case35_2,Ip,False,non_flat,case35_2:case35,90,0.784123
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case35_3,case35,case35_3,Ip,False,non_flat,case35_3:case35,193,0.612078
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case35_4,case35,case35_4,Ip,False,non_flat,case35_4:case35,223,0.560725
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case35_5,case35,case35_5,Ip,False,non_flat,case35_5:case35,150,0.189084
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case35_6,case35,case35_6,Ip,False,non_flat,case35_6:case35,131,0.474967
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case35_7,case35,case35_7,Ip,False,non_flat,case35_7:case35,124,0.675712
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case35_8,case35,case35_8,Ip,False,non_flat,case35_8:case35,116,0.330952
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case36_1,case36,case36_1,IIa,True,hard_flat_IIa,case36_1:case36,334,0.265947
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case36_2,case36,case36_2,IIa,True,hard_flat_IIa,case36_2:case36,150,0.379916
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case36_3,case36,case36_3,IIa,True,hard_flat_IIa,case36_3:case36,203,0.388876
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case36_4,case36,case36_4,IIa,True,hard_flat_IIa,case36_4:case36,128,0.009958
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case37_1,case37,case37_1,Is,False,non_flat,case37_1:case37,187,0.815567
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case37_2,case37,case37_2,Is,False,non_flat,case37_2:case37,159,0.693693
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case37_3,case37,case37_3,Is,False,non_flat,case37_3:case37,102,0.886575
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case38_1,case38,case38_1,Is,False,non_flat,case38_1:case38,255,0.756467
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case38_2,case38,case38_2,Is,False,non_flat,case38_2:case38,254,0.58987
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case39_1,case39,case39_1,IIa,True,hard_flat_IIa,case39_1:case39,294,0.75689
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case39_2,case39,case39_2,IIa,True,hard_flat_IIa,case39_2:case39,270,0.846178
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case39_3,case39,case39_3,IIa,True,hard_flat_IIa,case39_3:case39,149,0.689988
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case3_1,case3,case3_1,IIa,True,hard_flat_IIa,case3_1:case3,198,0.815431
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case3_2,case3,case3_2,IIa,True,hard_flat_IIa,case3_2:case3,94,0.415524
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case4,case4,case4,Is,False,non_flat,case4:case4,80,0.833053
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case40,case40,case40,IIa,True,hard_flat_IIa,case40:case40,159,0.696703
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case41,case41,case41,IIa,True,hard_flat_IIa,case41:case41,108,0.525268
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case42,case42,case42,Is,False,non_flat,case42:case42,268,0.682727
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case43,case43,case43,Isp,False,non_flat,case43:case43,260,0.710447
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case44_1,case44,case44_1,IIa,True,hard_flat_IIa,case44_1:case44,150,0.635793
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case44_2,case44,case44_2,IIa,True,hard_flat_IIa,case44_2:case44,150,0.317791
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case44_3,case44,case44_3,IIa,True,hard_flat_IIa,case44_3:case44,217,0.496958
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case44_4,case44,case44_4,IIa,True,hard_flat_IIa,case44_4:case44,228,0.595538
